                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   340         342          11.9157              1           1.55  
   341         343          11.8972              1           1.95  
   342         344          11.8706              1           2.27  
   343         345           11.839              1           2.37  
   344         346          11.8058              1           1.98  
   345         347          11.7779              1            2.4  
   346         348          11.7524              1           2.52  
   347         349          11.7304              1           2.73  
   348         350          11.7101              1           1.88  
   349         351          11.6899              1           1.72  
   350         352          11.6677              1            1.6  
   351         353          11.6478              1           1.79  
   352         354          11.6248              1           3.54  
   353         355          11.5937              1           2.17  
   354         356          11.5606              1           3.54  
   355         357          11.5347              1           2.66  
   356         358          11.5135              1           2.05  
   357         359          11.4965              1           2.69  
   358         360           11.476              1           2.42  
   359         361          11.4563              1           1.95  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   360         362          11.4375              1           1.85  
   361         363           11.421              1            1.7  
   362         364          11.4077              1           1.58  
   363         365          11.3875              1           1.79  
   364         366          11.3665              1           2.36  
   365         367          11.3427              1           2.53  
   366         368          11.3234              1           2.04  
   367         369          11.3054              1           2.49  
   368         370          11.2873              1           2.47  
   369         371          11.2675              1           2.18  
   370         372          11.2461              1           2.54  
   371         373           11.223              1           3.67  
   372         374          11.1999              1           1.75  
   373         375          11.1769              1           2.24  
   374         376          11.1599              1           1.64  
   375         377          11.1443              1           2.55  
   376         378          11.1304              1           1.82  
   377         379          11.1174              1           2.11  
   378         380          11.1038              1           2.11  
   379         381          11.0856              1           1.36  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   380         382          11.0658              1            1.4  
   381         383           11.048              1           1.32  
   382         384          11.0312              1           1.44  
   383         385          11.0204              1           1.21  
   384         386          11.0122              1           1.37  
   385         387          11.0044              1           1.36  
   386         388          10.9896              1           1.56  
   387         389          10.9751              1           1.63  
   388         390          10.9558              1           1.48  
   389         391          10.9369              1           1.36  
   390         392          10.9202              1           1.85  
   391         393          10.9081              1           2.07  
   392         394          10.8964              1           1.45  
   393         395          10.8841              1           1.41  
   394         396          10.8712              1           1.87  
   395         397          10.8618              1           1.54  
   396         398          10.8522              1            1.3  
   397         399           10.842              1           1.16  
   398         400          10.8315              1            1.1  
   399         401          10.8196              1            1.1  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   400         402          10.8087              1           1.28  
   401         403          10.7971              1            1.3  
   402         404          10.7864              1           1.34  
   403         405           10.776              1            1.4  
   404         406          10.7657              1           1.68  
   405         407          10.7536              1           1.59  
   406         408          10.7368              1           1.92  
   407         409          10.7166              1           2.34  
   408         410          10.6982              1           1.91  
   409         411          10.6832              1           1.72  
   410         412          10.6708              1           1.79  
   411         413          10.6596              1           1.97  
   412         414          10.6491              1           1.79  
   413         415          10.6374              1           1.28  
   414         416          10.6276              1           1.51  
   415         417          10.6147              1           1.52  
   416         418          10.5998              1           1.83  
   417         419          10.5848              1           1.86  
   418         420          10.5707              1           1.67  
   419         421           10.554              1           1.74  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   420         422          10.5341              1           1.79  
   421         423          10.5151              1           2.26  
   422         424          10.4972              1           1.78  
   423         425          10.4823              1           1.57  
   424         426          10.4677              1            2.4  
   425         427          10.4608              1           1.61  
   426         428           10.449              1           1.88  
   427         429          10.4319              1            1.6  
   428         430          10.4157              1           1.63  
   429         431          10.3907              1           2.21  
   430         432          10.3742              1           2.22  
   431         433          10.3597              1           1.81  
   432         434          10.3473              1           1.63  
   433         435          10.3332              1           1.44  
   434         436          10.3183              1           1.39  
   435         437          10.3018              1           1.36  
   436         438          10.2876              1           1.32  
   437         439          10.2755              1           1.41  
   438         440           10.264              1           1.42  
   439         441          10.2545              1           1.58  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   440         442          10.2428              1           1.25  
   441         443          10.2268              1           1.12  
   442         444           10.216              1           1.21  
   443         445          10.2047              1            1.3  
   444         446           10.196              1           1.49  
   445         447          10.1878              1           1.81  
   446         448          10.1769              1           1.97  
   447         449          10.1636              1           1.88  
   448         450          10.1457              1           2.55  
   449         451          10.1283              1           2.47  
   450         452          10.1113              1           1.56  
   451         453          10.1009              1            1.5  
   452         454          10.0935              1            1.4  
   453         455          10.0849              1            1.3  
   454         456           10.073              1           1.56  
   455         457          10.0574              1           1.52  
   456         458          10.0418              1            1.5  
   457         459          10.0267              1           1.23  
   458         460          10.0111              1           1.69  
   459         461          9.99863              1            1.8  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   460         462          9.98734              1           1.46  
   461         463           9.9781              1            1.4  
   462         464          9.96847              1           1.31  
   463         465          9.95907              1           1.54  
   464         466          9.94978              1           1.53  
   465         467          9.93818              1           1.55  
   466         468          9.92085              1           1.42  
