                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   271         294         0.965698              1          0.043  
   272         295         0.954511              1         0.0512  
   273         296         0.932071              1         0.0738  
   274         297         0.899838              1         0.0446  
   275         298         0.881203              1         0.0412  
   276         299         0.874844              1         0.0355  
   277         300         0.870384              1         0.0357  
   278         301         0.870044              1         0.0362  
   279         302         0.869355              1         0.0364  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   280         303           0.8693              1         0.0361  
   281         304         0.869292              1         0.0361  
   282         305         0.869292              1         0.0362  
   283         306         0.869292              1         0.0362  
   284         307         0.869292              1         0.0362  
   285         308         0.869292              1         0.0362  
   286         309         0.869292              1         0.0362  
   287         310         0.869292              1         0.0362  
   288         311         0.869291              1         0.0362  
   289         312         0.869291              1         0.0362  
   290         313          0.86929              1         0.0362  
   291         314         0.869287              1         0.0361  
   292         315          0.86928              1         0.0361  
   293         316         0.869262              1         0.0361  
   294         317         0.869212              1         0.0362  
   295         318         0.869109              1         0.0363  
   296         319         0.868902              1         0.0362  
   297         320         0.867186              1         0.0351  
   298         321         0.864288              1         0.0449  
   299         322         0.857477              1         0.0632  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   300         323         0.842052              1         0.0743  
   301         324         0.815814              1         0.0615  
   302         325         0.802742              1         0.0486  
   303         326         0.796398              1         0.0304  
   304         327         0.795409              1         0.0297  
   305         328         0.795227              1           0.03  
   306         329         0.795156              1         0.0304  
   307         330         0.795077              1         0.0305  
   308         332         0.795048       0.300184         0.0305  
   309         333         0.795036              1         0.0305  
   310         334         0.795034              1         0.0305  
   311         335         0.795033              1         0.0305  
   312         336         0.795033              1         0.0305  
   313         337         0.795033              1         0.0305  
   314         338         0.795033              1         0.0305  
   315         339         0.795033              1         0.0305  
   316         340         0.795033              1         0.0305  
   317         341         0.795033              1         0.0305  
   318         342         0.795032              1         0.0305  
   319         343          0.79503              1         0.0305  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   320         344         0.795025              1         0.0305  
   321         345         0.795011              1         0.0304  
   322         346         0.794975              1         0.0304  
   323         347          0.79488              1         0.0303  
   324         348         0.794629              1         0.0302  
   325         349          0.79395              1         0.0299  
   326         350         0.792465              1         0.0296  
   327         351         0.787776              1         0.0328  
   328         352         0.781334              1         0.0447  
   329         353         0.765792              1         0.0556  
   330         354         0.744327              1          0.104  
   331         355         0.737659              1         0.0949  
   332         356          0.73599              1         0.0905  
   333         357         0.735735              1          0.094  
   334         358         0.735714              1         0.0951  
   335         359         0.735711              1         0.0955  
   336         360         0.735711              1         0.0955  
   337         361         0.735711              1         0.0955  
   338         362         0.735711              1         0.0955  
   339         363          0.73571              1         0.0954  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   340         364          0.73571              1         0.0954  
   341         365          0.73571              1         0.0953  
   342         366          0.73571              1         0.0952  
   343         367         0.735708              1         0.0951  
   344         368         0.735705              1         0.0949  
   345         369         0.735695              1         0.0945  
   346         370         0.735676              1         0.0939  
   347         371         0.735641              1         0.0932  
   348         374          0.73481        3.49035           0.08  
   349         375         0.734271              1         0.0703  
   350         376         0.732921              1         0.0729  
   351         377         0.731531              1         0.0739  
   352         378         0.729708              1         0.0744  
   353         379         0.724605              1         0.0669  
   354         380         0.717489              1          0.044  
   355         381         0.709558              1         0.0347  
   356         382         0.700434              1         0.0438  
   357         383         0.695517              1          0.027  
   358         385         0.691317       0.439024         0.0239  
   359         386         0.689633              1         0.0253  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   360         387         0.686978              1         0.0342  
   361         388         0.686271              1         0.0316  
   362         389         0.686174              1         0.0325  
   363         390         0.686126              1          0.033  
   364         392         0.686117       0.283669          0.033  
   365         393         0.686116              1         0.0329  
   366         394         0.686116              1         0.0329  
   367         395         0.686116              1         0.0329  
   368         396         0.686116              1         0.0329  
   369         397         0.686116              1         0.0329  
   370         398         0.686116              1         0.0329  
   371         399         0.686115              1         0.0329  
   372         400         0.686115              1         0.0329  
   373         401         0.686115              1         0.0329  
   374         402         0.686114              1         0.0329  
   375         403         0.686108              1          0.033  
   376         405         0.686101       0.261758         0.0331  
   377         406         0.686088              1         0.0332  
   378         407         0.685934              1         0.0337  
   379         408          0.68565              1          0.035  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   380         409         0.685046              1         0.0367  
   381         410         0.683879              1         0.0376  
   382         411           0.6816              1         0.0392  
   383         412         0.672609              1         0.0431  
   384         413         0.663897              1         0.0419  
   385         414         0.637411              1         0.0445  
   386         415         0.609704              1         0.0467  
   387         416         0.594662              1         0.0495  
   388         417         0.577572              1         0.0383  
   389         418         0.572616              1          0.062  
   390         419          0.56932              1         0.0313  
   391         420          0.56836              1         0.0328  
   392         421         0.567668              1         0.0335  
   393         423         0.567308        0.28107         0.0343  
   394         424         0.567196              1         0.0346  
   395         425         0.567178              1         0.0347  
   396         426         0.567176              1         0.0347  
   397         427         0.567176              1         0.0347  
   398         428         0.567176              1         0.0347  
   399         429         0.567176              1         0.0347  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   400         430         0.567176              1         0.0346  
   401         431         0.567176              1         0.0346  
   402         432         0.567175              1         0.0346  
   403         433         0.567175              1         0.0346  
   404         434         0.567175              1         0.0346  
   405         435         0.567173              1         0.0346  
   406         436         0.567169              1         0.0346  
   407         437         0.567159              1         0.0345  
   408         438         0.567132              1         0.0345  
   409         439         0.567072              1          0.034  
   410         441         0.566515             10         0.0353  
   411         442          0.56543              1         0.0356  
   412         443         0.552324              1         0.0373  
   413         444         0.536422              1         0.0648  
   414         445         0.515433              1          0.043  
   415         446         0.474224              1         0.0663  
   416         447         0.457073              1         0.0648  
   417         448          0.45095              1         0.0481  
   418         449         0.448676              1         0.0458  
   419         450         0.445591              1         0.0497  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   420         452         0.445054       0.420048         0.0516  
   421         453         0.444694              1         0.0549  
   422         454         0.444619              1         0.0558  
   423         455         0.444559              1         0.0549  
   424         456          0.44455              1         0.0542  
   425         457         0.444548              1         0.0544  
   426         458         0.444547              1         0.0545  
   427         459         0.444547              1         0.0545  
   428         460         0.444547              1         0.0545  
   429         461         0.444547              1         0.0545  
   430         462         0.444547              1         0.0545  
   431         463         0.444547              1         0.0544  
   432         464         0.444547              1         0.0544  
   433         465         0.444546              1         0.0544  
   434         466         0.444543              1         0.0542  
   435         469         0.444527        4.00876         0.0535  
   436         470          0.44451              1          0.052  
   437         471         0.444461              1         0.0523  
   438         472          0.44441              1         0.0523  
   439         473         0.444373              1         0.0524  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   440         474         0.444249              1         0.0529  
   441         475         0.444028              1         0.0518  
   442         476         0.442662              1         0.0504  
   443         477         0.440305              1         0.0476  
   444         478         0.434993              1         0.0397  
   445         479         0.417812              1         0.0556  
   446         480         0.404671              1         0.0385  
   447         481          0.39106              1         0.0391  
   448         482         0.380006              1         0.0412  
   449         483         0.370943              1         0.0387  
   450         484         0.359334              1         0.0292  
   451         486         0.356309       0.471225         0.0304  
   452         487         0.351691              1         0.0238  
   453         490         0.348502       0.247107          0.023  
   454         491         0.346634              1         0.0242  
   455         492         0.345959              1         0.0249  
   456         494         0.345594       0.526066         0.0257  
   457         495         0.345516              1         0.0256  
   458         496         0.345395              1         0.0253  
   459         497         0.345322              1         0.0248  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   460         499           0.3452            0.5         0.0251  
   461         500         0.345163              1         0.0257  
   462         501         0.345069              1         0.0255  
   463         503          0.34506       0.410041         0.0255  
   464         504         0.345055              1         0.0255  
   465         506         0.345049              2         0.0255  
   466         508         0.345047       0.550368         0.0255  
   467         509         0.345046              1         0.0255  
   468         510         0.345045              1         0.0255  
   469         511         0.345045              1         0.0255  
   470         512         0.345045              1         0.0255  
   471         513         0.345045              1         0.0255  
   472         514         0.345045              1         0.0255  
   473         515         0.345045              1         0.0255  
   474         516         0.345045              1         0.0255  
   475         517         0.345044              1         0.0255  
   476         518         0.345044              1         0.0255  
   477         519         0.345043              1         0.0254  
   478         520         0.345039              1         0.0254  
   479         521         0.345031              1         0.0254  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   480         522         0.345009              1         0.0253  
   481         523         0.344919              1          0.025  
   482         524         0.344848              1         0.0249  
   483         525         0.344544              1         0.0248  
   484         526         0.343334              1         0.0284  
   485         527         0.340417              1         0.0396  
   486         528         0.336723              1         0.0448  
   487         529         0.331327              1         0.0714  
   488         530         0.322103              1         0.0593  
   489         531          0.30785              1         0.0421  
   490         532         0.306392              1         0.0813  
   491         533         0.299401              1         0.0602  
   492         534         0.295646              1         0.0449  
   493         535         0.293218              1         0.0361  
   494         536         0.290597              1         0.0257  
   495         537         0.287392              1         0.0317  
   496         538         0.284572              1         0.0456  
   497         540         0.283936       0.380669         0.0559  
   498         541         0.283453              1         0.0679  
   499         542         0.283114              1         0.0583  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   500         543          0.28303              1         0.0588  
   501         544         0.283009              1         0.0593  
   502         545         0.283001              1         0.0592  
   503         546         0.282997              1         0.0589  
   504         548         0.282995       0.114962         0.0588  
   505         549         0.282993              1         0.0589  
   506         550         0.282991              1         0.0591  
   507         551          0.28299              1         0.0592  
   508         552          0.28299              1         0.0592  
   509         553          0.28299              1         0.0592  
   510         554          0.28299              1         0.0592  
   511         555          0.28299              1         0.0592  
   512         556          0.28299              1         0.0592  
   513         557          0.28299              1         0.0592  
   514         558          0.28299              1         0.0591  
   515         559          0.28299              1         0.0591  
   516         560         0.282989              1         0.0591  
   517         562         0.282987             10         0.0594  
   518         563         0.282985              1         0.0593  
   519         564         0.282979              1         0.0592  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   520         565         0.282969              1          0.059  
   521         566         0.282943              1         0.0585  
   522         567         0.282888              1         0.0578  
   523         568         0.282755              1         0.0562  
   524         569         0.282493              1         0.0539  
   525         571         0.281629             10         0.0323  
   526         572         0.278834              1         0.0341  
   527         573         0.276379              1          0.039  
   528         576         0.270691        2.93287         0.0387  
   529         577         0.267495              1         0.0368  
   530         578         0.261227              1         0.0359  
   531         580         0.250793        2.27779         0.0241  
   532         582         0.247728       0.219644         0.0218  
   533         583         0.245181              1         0.0245  
   534         584         0.243349              1          0.017  

Optimization completed: The <a href = "matlab: helpview([docroot '/toolbox/optim/msg_csh/optim_msg_csh.map'],'first_order_opt_unc','CSHelpWindow');">first-order optimality measure</a>, 8.682777e-09, is less 
than <a href = "matlab: helpview([docroot '/toolbox/optim/msg_csh/optim_msg_csh.map'],'tolfun','CSHelpWindow');">options.TolFun</a> = 1.000000e-08.

Optimization Metric                                            Options
relative norm(gradient) =   8.68e-09                  TolFun =   1e-08 (selected)

Press Enter(Return) to continue...
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
     0           1       0.00614752                       0.00441
     1           4      0.000417054             91       0.000909  
     2           5      1.89368e-07              1       1.86e-05  
     3           6      4.08505e-11              1       2.73e-07  
     4           7      4.71753e-18              1       9.27e-11  

Optimization completed: The <a href = "matlab: helpview([docroot '/toolbox/optim/msg_csh/optim_msg_csh.map'],'first_order_opt_unc','CSHelpWindow');">first-order optimality measure</a>, 9.226285e-11, is less 
than <a href = "matlab: helpview([docroot '/toolbox/optim/msg_csh/optim_msg_csh.map'],'tolfun','CSHelpWindow');">options.TolFun</a> = 1.000000e-08.

Optimization Metric                                            Options
relative norm(gradient) =   9.23e-11                  TolFun =   1e-08 (selected)

Press Enter(Return) to continue...
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
     0           1      0.000329259                      0.000357
     1           4      8.37836e-05             91       0.000157  
     2           5      1.88609e-06              1       5.53e-05  
     3           6      1.21026e-08              1        4.8e-06  
     4           7      6.68029e-12              1       5.74e-08  
     5           8      4.29639e-15              1       1.21e-09  

Optimization completed: The <a href = "matlab: helpview([docroot '/toolbox/optim/msg_csh/optim_msg_csh.map'],'first_order_opt_unc','CSHelpWindow');">first-order optimality measure</a>, 1.210030e-09, is less 
than <a href = "matlab: helpview([docroot '/toolbox/optim/msg_csh/optim_msg_csh.map'],'tolfun','CSHelpWindow');">options.TolFun</a> = 1.000000e-08.

Optimization Metric                                            Options
relative norm(gradient) =   1.21e-09                  TolFun =   1e-08 (selected)

Press Enter(Return) to continue...
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
     0           1       0.00136879                      0.000695
     1           4      0.000313109             91       0.000315  
     2           5      3.82642e-05              1       0.000116  
     3           6      3.01612e-06              1       2.83e-05  
     4           7      7.98218e-07              1       2.39e-05  
     5           8      2.51125e-08              1       6.76e-06  
     6           9      8.15319e-10              1       1.05e-06  
     7          10      1.78736e-12              1        2.1e-08  
     8          11      3.43842e-15              1       1.25e-09  

Optimization completed: The <a href = "matlab: helpview([docroot '/toolbox/optim/msg_csh/optim_msg_csh.map'],'first_order_opt_unc','CSHelpWindow');">first-order optimality measure</a>, 1.244456e-09, is less 
than <a href = "matlab: helpview([docroot '/toolbox/optim/msg_csh/optim_msg_csh.map'],'tolfun','CSHelpWindow');">options.TolFun</a> = 1.000000e-08.

Optimization Metric                                            Options
relative norm(gradient) =   1.24e-09                  TolFun =   1e-08 (selected)

Press Enter(Return) to continue...
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
     0           1       0.00179391                       0.00178
     1           3       0.00151902             10        0.00157  
     2           4      0.000460078              1       0.000548  
     3           5      0.000280054              1       0.000465  
     4           6      1.25126e-05              1       0.000133  
     5           7      2.80966e-06              1       3.32e-05  
     6           8       8.3622e-07              1       2.26e-05  
     7           9       8.3659e-08              1       8.87e-06  
     8          10      1.23963e-08              1       2.83e-06  
     9          11      5.24825e-09              1       1.04e-06  
    10          12      1.89747e-09              1       7.03e-07  
    11          13      2.11948e-10              1       5.28e-07  
    12          14      9.44788e-12              1       1.34e-07  
    13          15      9.35005e-14              1       9.03e-09  
