test_script
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   253         256          5.25015              1          0.938  
   254         257           5.2402              1           1.18  
   255         258           5.2323              1           1.18  
   256         259          5.22376              1           1.14  
   257         260          5.21455              1           1.42  
   258         261          5.20486              1           1.23  
   259         262          5.19256              1           1.02  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   260         263          5.17726              1           1.06  
   261         264          5.16219              1           1.32  
   262         265          5.15083              1           1.64  
   263         266          5.14369              1           1.14  
   264         267          5.13622              1           1.04  
   265         268          5.12634              1          0.998  
   266         269          5.11317              1           0.94  
   267         270          5.09694              1           1.34  
   268         271          5.08391              1           1.06  
   269         272          5.07379              1          0.947  
   270         273          5.06519              1           1.11  
   271         274          5.05739              1           1.47  
   272         275          5.05022              1           1.06  
   273         276          5.04077              1          0.991  
   274         277          5.03131              1           1.05  
   275         278          5.01932              1            1.6  
   276         279          5.00833              1           1.41  
   277         280          4.99641              1           1.54  
   278         281          4.98546              1           1.02  
   279         282          4.97545              1              1  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   280         283           4.9638              1           1.03  
   281         284          4.95242              1           1.13  
   282         285          4.94239              1          0.943  
   283         286          4.93322              1           1.04  
   284         287          4.92197              1           1.24  
   285         288          4.91014              1           1.02  
   286         289          4.89686              1           1.17  
   287         290           4.8862              1            1.1  
   288         291          4.87888              1           1.02  
   289         292          4.86994              1          0.955  
   290         293          4.86121              1           1.03  
   291         294          4.85064              1           1.04  
   292         295          4.84068              1           3.19  
   293         296          4.82868              1           2.39  
   294         297          4.81843              1          0.848  
   295         298          4.81052              1           1.71  
   296         299          4.80301              1          0.958  
   297         300          4.79506              1          0.847  
   298         301          4.78811              1           1.06  
   299         302          4.77866              1           1.57  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   300         303          4.76736              1           1.48  
   301         304          4.75468              1           1.98  
   302         305          4.74293              1           1.35  
   303         306           4.7365              1           2.05  
   304         307          4.72502              1          0.871  
   305         308          4.71594              1          0.878  
   306         309          4.70853              1           1.52  
   307         310          4.70187              1            1.2  
   308         311          4.69618              1           1.06  
   309         312          4.68999              1          0.739  
   310         313          4.68418              1           1.13  
   311         314          4.67842              1           1.12  
   312         315          4.67122              1          0.987  
   313         316          4.66492              1           1.05  
   314         317          4.66002              1           1.16  
   315         318          4.65373              1           1.37  
   316         319           4.6447              1          0.782  
   317         320          4.63593              1          0.999  
   318         321          4.63198              1          0.791  
   319         322          4.62871              1          0.697  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   320         323          4.62565              1          0.581  
   321         324          4.62052              1          0.597  
   322         325          4.61286              1          0.909  
   323         326          4.60562              1           1.14  
   324         327          4.59897              1           1.04  
   325         328           4.5943              1          0.686  
   326         329          4.59049              1          0.589  
   327         330          4.58511              1           0.86  
   328         331          4.58048              1            1.2  
   329         332          4.57545              1           1.03  
   330         333          4.56929              1          0.695  
   331         334          4.56463              1           1.38  
   332         335          4.55965              1          0.797  
   333         336           4.5524              1          0.801  
   334         337          4.54295              1          0.602  
   335         338          4.53909              1          0.793  
   336         339          4.53444              1          0.749  
   337         340          4.52895              1           1.31  
   338         341          4.52425              1          0.877  
   339         342          4.51828              1          0.935  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   340         343          4.51085              1           1.61  
   341         344          4.50565              1          0.906  
   342         345          4.50143              1           1.16  
   343         346           4.4971              1            1.2  
   344         347          4.49372              1           0.69  
   345         348          4.49004              1          0.505  
   346         349          4.48577              1          0.527  
   347         350          4.48133              1          0.633  
   348         351          4.47488              1          0.784  
   349         352          4.46803              1           0.76  
   350         353          4.46319              1          0.581  
   351         354          4.45882              1           1.14  
   352         355          4.45605              1          0.978  
   353         356          4.45269              1          0.518  
   354         357          4.44904              1          0.548  
   355         358          4.44481              1          0.823  
   356         359          4.43987              1          0.807  
   357         360           4.4338              1          0.913  
   358         361          4.42652              1          0.757  
   359         362          4.41954              1          0.865  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   360         363          4.41621              1           1.19  
   361         364          4.41328              1          0.544  
   362         365          4.40997              1          0.726  
   363         366          4.40669              1          0.637  
   364         367          4.40309              1          0.613  
   365         368          4.39821              1           1.02  
   366         369          4.39338              1          0.606  
   367         370          4.38877              1           1.58  
   368         371          4.38309              1          0.701  
   369         372          4.37747              1          0.522  
   370         373          4.37318              1          0.515  
   371         374          4.36945              1          0.651  
   372         375          4.36477              1           0.54  
   373         376           4.3588              1          0.688  
   374         377           4.3517              1           1.03  
   375         378          4.34451              1           1.32  
   376         379          4.33788              1          0.873  
   377         381          4.33507       0.396943          0.698  
   378         382          4.33131              1          0.864  
   379         383          4.32824              1          0.953  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   380         384          4.32511              1           0.61  
   381         385          4.32073              1          0.712  
   382         386          4.31544              1           1.41  
   383         387          4.30931              1           1.14  
   384         388          4.30355              1           1.11  
   385         389          4.29732              1           1.38  
   386         390          4.28916              1           1.63  
   387         391          4.28073              1           1.12  
   388         393          4.27797       0.425712           1.37  
   389         394          4.27241              1          0.715  
   390         395          4.26789              1          0.715  
   391         396          4.26273              1           1.21  
   392         397          4.25598              1           1.09  
   393         398          4.24837              1          0.923  
   394         399          4.24321              1          0.867  
   395         400          4.23727              1           1.43  
   396         401          4.23216              1           1.58  
   397         402          4.22549              1           1.73  
   398         403          4.21913              1          0.592  
   399         404           4.2124              1          0.861  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   400         405          4.20153              1           1.29  
   401         406          4.19483              1           1.14  
   402         407          4.18702              1           1.21  
   403         408           4.1825              1           1.42  
   404         409          4.17812              1           1.47  
   405         410           4.1718              1          0.951  
   406         411          4.16368              1          0.645  
   407         412          4.15614              1           1.23  
   408         413          4.15168              1           1.98  
   409         415          4.14758       0.398758           1.84  
   410         416          4.13889              1            2.5  
   411         417          4.13146              1           1.86  
   412         418          4.12265              1           1.94  
   413         419          4.11712              1           1.76  
   414         420          4.10863              1           1.94  
   415         421          4.10128              1           1.57  
   416         422           4.0959              1           1.24  
   417         423          4.08739              1           1.15  
   418         424          4.08299              1          0.763  
   419         425          4.07763              1          0.895  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   420         426          4.07259              1          0.982  
   421         427          4.06651              1          0.914  
   422         428          4.05856              1          0.874  
   423         429          4.05009              1           2.15  
   424         430          4.03945              1           1.07  
   425         431          4.03246              1           2.67  
   426         432          4.02345              1          0.915  
   427         433          4.01674              1           1.12  
   428         434          4.00823              1          0.812  
   429         435          3.99925              1           1.72  
   430         436          3.99193              1          0.755  
   431         437          3.98629              1          0.706  
   432         438          3.97841              1           1.19  
   433         439          3.97438              1           1.06  
   434         440          3.96686              1          0.791  
   435         441          3.95684              1           1.07  
   436         442          3.95184              1          0.767  
   437         443          3.94668              1          0.697  
   438         444          3.94211              1          0.814  
   439         445          3.93892              1           0.78  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   440         446          3.93472              1          0.876  
   441         447          3.92894              1          0.797  
   442         448          3.92177              1           1.45  
   443         449          3.91443              1           1.45  
   444         450          3.90929              1           1.65  
   445         451          3.90225              1          0.948  
   446         452          3.89645              1           1.47  
   447         453          3.89038              1           1.22  
   448         454          3.88266              1           1.15  
   449         455          3.87174              1           1.57  
   450         456          3.86409              1           1.38  
   451         457           3.8587              1          0.853  
   452         458          3.85375              1           1.01  
   453         459          3.85084              1          0.759  
   454         460          3.84906              1          0.717  
   455         461          3.84849              1           1.64  
   456         462          3.84506              1          0.508  
   457         463          3.84248              1          0.491  
   458         464          3.83848              1          0.955  
   459         465          3.83438              1           1.07  
                                                        First-order 
 Iteration  Func-count       f(x)        Step-size       optimality
   460         466          3.83013              1           1.02  
   461         467          3.82551              1           0.73  
   462         468          3.82039              1           0.83  
   463         469          3.81474              1          0.723  
